587727178986356823,00:00:00.41,-10:22:25.7
587727227300741210,00:00:00.74,-09:13:20.2
587727225153257596,00:00:01.03,-10:56:48.0
587730774962536596,00:00:01.38,+15:30:35.3
587731186203885750,00:00:01.55,-00:05:33.3
587727180060098638,00:00:01.57,-09:29:40.3
587731187277627676,00:00:01.86,+00:43:09.3
587727223024189605,00:00:02.00,+15:41:49.8
587730775499407375,00:00:02.10,+15:52:54.2
587727221950382424,00:00:02.41,+14:49:19.0
587730774425665704,00:00:02.58,+15:02:28.3
587730773888794751,00:00:02.82,+14:42:55.9
588015507658768464,00:00:03.24,-01:06:46.8
587727178449485858,00:00:03.33,-10:43:16.0
587730773351858407,00:00:03.46,+14:11:53.6
587731187277693069,00:00:04.12,+00:45:07.9
587727227837612116,00:00:04.18,-08:44:03.0
587727225153257606,00:00:04.60,-10:58:34.7
587727180596969574,00:00:04.60,-08:56:37.6
587731187277693072,00:00:04.74,+00:46:54.2
587727227300741221,00:00:05.17,-09:13:04.6
588015507658768548,00:00:05.54,-01:12:58.9
587727221413511423,00:00:05.70,+14:24:44.8
587730775499407519,00:00:06.11,+15:52:31.4
588015509806252152,00:00:06.67,+00:30:16.8
587727221413511425,00:00:06.70,+14:19:58.5
588015510343123099,00:00:07.12,+00:51:28.5
587727220876640496,00:00:07.35,+13:54:36.6
587730775499407506,00:00:07.37,+15:51:19.2
587730775499407527,00:00:07.59,+15:54:07.4
587730775499407394,00:00:07.62,+15:50:03.2
588015508195639450,00:00:07.76,-00:43:24.9
587731186203951236,00:00:07.82,-00:02:26.1
587730773888794640,00:00:08.09,+14:32:45.7
587730772815052960,00:00:08.50,+13:44:41.4
587727221413576845,00:00:08.58,+14:30:59.3
587730774962536636,00:00:09.02,+15:26:14.4
587730773351923927,00:00:09.56,+14:14:36.1
587731187277693087,00:00:10.12,+00:38:03.4
587730772815052965,00:00:10.65,+13:47:46.8
587727223024189636,00:00:11.10,+15:42:12.8
587727177912615038,00:00:11.37,-11:11:23.4
588015508195639389,00:00:11.61,-00:38:38.3
